ADANIPORTS,ADA
ASIANPAINT,ASI
AXISBANK,AXI
BAJAJ-AUTO,BAJ
BAJAJFINSV,BAJ
BAJFINANCE,BAJ
BHARTIARTL,BHA
BPCL,BPC
BRITANNIA,BRI
CIPLA,CIP
COALINDIA,COA
DRREDDY,DRR
EICHERMOT,EIC
GAIL,GAI
GRASIM,GRA
HCLTECH,HCL
HDFC,HDF
HDFCBANK,HDF
HDFCLIFE,HDF
HEROMOTOCO,HER
HINDALCO,HIN
HINDUNILVR,HIN
ICICIBANK,ICI
INDUSINDBK,IND
INFRATEL,INF
INFY,INF
IOC,IOC
ITC,ITC
JSWSTEEL,JSW
KOTAKBANK,KOT
LT,LT.
M&M,M&M
MARUTI,MAR
NESTLEIND,NES
NTPC,NTP
ONGC,ONG
POWERGRID,POW
RELIANCE,REL
SBIN,SBI
SHREECEM,SHR
SUNPHARMA,SUN
TATAMOTORS,TAT
TATASTEEL,TAT
TCS,TCS
TECHM,TEC
TITAN,TIT
ULTRACEMCO,ULT
UPL,UPL
WIPRO,WIP
ZEEL,ZEE
